Timestamp,Location name,Address,latitude  (Please refer https://www.latlong.net/convert-address-to-lat-long.html),Type,,longitude (Please refer https://www.latlong.net/convert-address-to-lat-long.html)
3/18/2018 10:01:43,Amruth Idly & Dosa,"582
K P H B Phase 7  Kukatpally
Hyderabad  Telangana 500085
India",17.471842,Food,,78.386748
3/18/2018 10:02:19,Satyam Dosa & idly,"K P H B Phase 4  Kukatpally
Hyderabad  Telangana 500085
India",17.471494,Food,,78.387038
3/18/2018 10:04:20,Swapna Restaurant & Bar,"Plot No.2  CBCID Colony Main Road  CBCID Colony  Hyder Nagar
CBCID Colony  NRSA Colony  Bagath Singh Nagar Phase 2  Kukatpally
Hyderabad  Telangana 500085
India",17.498546,Food,,78.380488
3/18/2018 10:05:05,Karachi Bakery,(17.499497  78.385847),17.499497,Food,,78.385847
3/18/2018 10:05:47,Brundavan Food Court,"Nizampet X roads Kukatpally hyd
Dharma Reddy Colony Phase II  Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500081
India",17.498177,Food,,78.389549
3/18/2018 10:06:31,Theiosz Drive in,"Ashok Nagar  Jawaharlal Nehru Technological University  Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500085
India",17.497824,Food,,78.391448
3/18/2018 10:07:49,McDonald's,"Manjeera Trinity Mall  JNTU Road  KPHB Phase III  Kukatpally
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.490278,Food,,78.392923
3/18/2018 10:08:34,Delicacy,"#101 1st Floor  Manjeera Majestic Commercial  JNTU Road  Kukatpally Housing Board Colony  Kukatpally
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500072
India",17.492125,Food,,78.393663
3/18/2018 10:11:53,Maa Ooru Biryani,"MIG-423  4th Rd  KPHB Phase 3  Kukatpally
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500072
India",17.489029,Food,,78.39626
3/18/2018 10:13:19,Vasista's Srilakshmi Curry Point,"Near Temple Bustop  Colony
Kukatpally Housing Board Colony  Kukatpally
Hyderabad  Telangana 500072
India",17.488006,Food,,78.395798
3/18/2018 10:14:32,Kaffeine,"15-31-2L-10/1-6  KPHB Road
K P H B Phase 3  Kukatpally
Hyderabad  Telangana 500072
India",17.489244,Food,,78.397322
3/18/2018 10:15:42,Tabla Restaurant,"2nd Floor  APHB Commercial Complex  Opposite Kalaniketan   Mumbai Highway  Kukatpally
Jal Vayu Vihar  Kukatpally
Hyderabad  Telangana 500072
India",17.496213,Food,,78.397633
3/18/2018 10:16:40,Bommarillu Family Restaurant and Function Hall,"Beside Kalyan Garden  Miyapur Cross Road
Mathrusree Nagar  Hafeezpet
Hyderabad  Telangana 500049
India",17.496182,Food,,78.363225
3/18/2018 10:18:39,Kolkata House,"110/N23  Gachibowli Miyapur Road  Opp RTO Office  Raghavendra Colony  Kondapur
Raghavendra Colony  Kondapur
Hyderabad  Telangana 500084
India",17.472298,Food,,78.364406
3/18/2018 10:19:16,My Place Restaurant,"My Place-Business Boutique Hotel  Plot No. 60 & 61  Green Hamlet  Shilpa Park  Opposite More Super M
Hanuman Nagar  Green Hamlet  Kothaguda
Kondapur  Telangana 500084
India",17.468982,Food,,78.367989
3/18/2018 10:20:01,Banana Leaf Multi Cuisine Restaurant,"#1-58/5/A  Gachibowli X Roads  Opp.Furniture City  Above Bank Of India  Gachibowli
P Janardhan Reddy Nagar  Gachibowli
Hyderabad  Telangana 500031
India",17.443866,Food,,78.36329
3/18/2018 10:20:55,Punjabi Rasoi,"Plot No 1-68/2  Gachibowli Traffic Signals  Gachibowli
Rahmat Gulshan Colony  P Janardhan Reddy Nagar  Gachibowli
Hyderabad  Telangana 500032
India",17.43881,Food,,78.364191
3/18/2018 10:21:36,Karachi Bakery,"Shop no:2 sector3  House No: 1-140/2&3  Opp: Raheja IT Mindspace  Mouri Tech Building Hitec City
Phase 2  HITEC City
Hyderabad  Telangana 500081
India",17.441573,Food,,78.376744
3/21/2018 13:35:05,Manjeera Mall,Jntu Road  Phase 3  Kphb,17.489964,Food: Entertainment,,78.393127
3/21/2018 13:38:16,Kphb Shopping Lane,Kphb Main Road,17.494703,other,,78.398573
3/23/2018 14:04:07,Block 22,Hi Tech City,17.468957,Food: Entertainment,,78.376301
3/23/2018 14:06:41,The Sky Lounge Avasa,Hi-Tech city,17.447191,Food: Entertainment,,78.383841
3/23/2018 14:09:48,Shilpa Raamam,Cyber Towers,17.451,Entertainment: Tourism,,78.377
3/29/2018 11:33:43,panera bread,66 Parkhurst Rd  Chelmsford  MA 01824,42.62308,Food,,-71.361307
